source	target	value	date	year
morning glory	dimenhydrinate	1	2009-02-01	2009
morning glory	mushrooms	1	2009-10-01	2009
morning glory	h.b. woodrose	1	2009-01-01	2009
morning glory	cannabis	1	2010-11-01	2010
morning glory	cannabis	1	2010-04-01	2010
morning glory	cannabis	1	2010-03-01	2010
morning glory	cannabis	1	2010-02-01	2010
morning glory	alcohol	1	2010-04-01	2010
morning glory	alcohol	1	2010-03-01	2010
morning glory	datura	1	2010-03-01	2010
morning glory	datura	1	2010-02-01	2010
morning glory	mushrooms	1	2010-03-01	2010
morning glory	mushrooms	1	2010-02-01	2010
morning glory	dimenhydrinate	1	2010-01-01	2010
morning glory	meclizine	1	2010-03-01	2010
morning glory	nitrous oxide	1	2010-02-01	2010
morning glory	tobacco	1	2011-02-01	2011
morning glory	cannabis	1	2012-04-01	2012
morning glory	cannabis	1	2013-11-01	2013
morning glory	cannabis	1	2013-10-01	2013
morning glory	tobacco	1	2013-11-01	2013
