source	target	value	date	year
lsd	cannabis	1	2002-01-01	2002
lsd	cannabis	1	2002-01-01	2002
lsd	cannabis	1	2002-01-01	2002
lsd	cannabis	1	2002-01-01	2002
lsd	cannabis	1	2002-01-01	2002
lsd	mdma	1	2002-10-01	2002
lsd	mdma	1	2002-08-01	2002
lsd	mdma	1	2002-07-01	2002
lsd	mdma	1	2002-05-01	2002
lsd	salvia divinorum	1	2002-08-01	2002
lsd	salvia divinorum	1	2002-02-01	2002
lsd	salvia divinorum	1	2002-02-01	2002
lsd	salvia divinorum	1	2002-01-01	2002
lsd	nitrous oxide	1	2002-08-01	2002
lsd	nitrous oxide	1	2002-07-01	2002
lsd	nitrous oxide	1	2002-01-01	2002
lsd	alcohol	1	2002-02-01	2002
lsd	alcohol	1	2002-02-01	2002
lsd	alcohol	1	2002-01-01	2002
lsd	5-meo-dipt	1	2002-11-01	2002
lsd	5-meo-dipt	1	2002-01-01	2002
lsd	dxm	1	2002-02-01	2002
lsd	dxm	1	2002-02-01	2002
lsd	oxycodone	1	2002-11-01	2002
lsd	smoked	1	2002-11-01	2002
lsd	undefined	1	2002-11-01	2002
lsd	oral	1	2002-11-01	2002
lsd	2c-i	1	2002-05-01	2002
lsd	mushrooms	1	2002-02-01	2002
lsd	2c-b	1	2002-01-01	2002
lsd	cannabis	1	2003-12-01	2003
lsd	cannabis	1	2003-10-01	2003
lsd	cannabis	1	2003-10-01	2003
lsd	cannabis	1	2003-08-01	2003
lsd	cannabis	1	2003-08-01	2003
lsd	cannabis	1	2003-07-01	2003
lsd	cannabis	1	2003-04-01	2003
lsd	cannabis	1	2003-04-01	2003
lsd	cannabis	1	2003-04-01	2003
lsd	cannabis	1	2003-04-01	2003
lsd	cannabis	1	2003-03-01	2003
lsd	alcohol	1	2003-11-01	2003
lsd	alcohol	1	2003-10-01	2003
lsd	alcohol	1	2003-07-01	2003
lsd	alcohol	1	2003-02-01	2003
lsd	alprazolam	1	2003-12-01	2003
lsd	alprazolam	1	2003-08-01	2003
lsd	alprazolam	1	2003-05-01	2003
lsd	alprazolam	1	2003-02-01	2003
lsd	mdma	1	2003-11-01	2003
lsd	mdma	1	2003-10-01	2003
lsd	mdma	1	2003-08-01	2003
lsd	mdma	1	2003-01-01	2003
lsd	ketamine	1	2003-12-01	2003
lsd	ketamine	1	2003-08-01	2003
lsd	5-meo-dipt	1	2003-11-01	2003
